average_accuracy,dataset,forgetting,method,parameter_overhead_percent,seed,task_free_accuracy_curve,task_free_average_accuracy,task_free_forgetting,task_free_route_accuracy
0.10999999999999999,cifar100,-0.016666666666666666,BONSAI,2.8367306914785138,7,"[0.15, 0.025, 0.041666666666666664, 0.03125, 0.005, 0.016666666666666666, 0.02142857142857143, 0.009375, 0.008333333333333335, 0.0125]",0.0125,0.07500000000000001,0.1
0.01,cifar100,0.04444444444444444,EWC,0.0,7,"[0.15, 0.0375, 0.03333333333333333, 0.03125, 0.025, 0.016666666666666666, 0.017857142857142856, 0.018750000000000003, 0.011111111111111112, 0.01]",0.01,0.04444444444444444,
0.01,cifar100,0.019444444444444445,SI,0.0,7,"[0.1, 0.025, 0.024999999999999998, 0.025, 0.02, 0.012499999999999999, 0.014285714285714287, 0.0125, 0.011111111111111112, 0.01]",0.01,0.019444444444444445,
0.0075000000000000015,cifar100,0.016666666666666666,PackNet,0.0,7,"[0.1, 0.025, 0.024999999999999998, 0.01875, 0.015, 0.012499999999999999, 0.014285714285714287, 0.015625, 0.005555555555555556, 0.0075000000000000015]",0.0075000000000000015,0.016666666666666666,
0.10499999999999998,cifar100,0.0,PNN,900.0,7,"[0.125, 0.05, 0.03333333333333333, 0.037500000000000006, 0.025, 0.020833333333333332, 0.017857142857142856, 0.0125, 0.011111111111111112, 0.0075]",0.0075,0.027777777777777776,0.115
