average_accuracy,dataset,forgetting,method,parameter_overhead_percent,seed,task_free_accuracy_curve,task_free_average_accuracy,task_free_forgetting,task_free_route_accuracy
0.215625,cifar100,-0.020833333333333346,BONSAI,4.2253893953865935,7,"[0.1125, 0.14375, 0.08229166666666667, 0.057812499999999996, 0.049375, 0.0453125, 0.040625, 0.037109375, 0.027777777777777776, 0.022187500000000002]",0.022187500000000002,0.08680555555555555,0.1059375
0.2071875,cifar100,-0.0052083333333333304,BONSAI,4.2253893953865935,17,"[0.121875, 0.1296875, 0.11145833333333334, 0.07265624999999999, 0.05125, 0.05260416666666667, 0.04196428571428571, 0.0359375, 0.03125, 0.0246875]",0.0246875,0.07916666666666666,0.12
0.21999999999999997,cifar100,-0.012152777777777778,BONSAI,4.2253893953865935,27,"[0.11875, 0.128125, 0.08854166666666667, 0.06796875, 0.053125, 0.04270833333333333, 0.043303571428571434, 0.043359375, 0.02638888888888889, 0.0278125]",0.0278125,0.08229166666666665,0.114375
0.1278125,cifar100,0.0,PNN,900.0,7,"[0.128125, 0.0640625, 0.03958333333333334, 0.03046875, 0.024375, 0.0203125, 0.017857142857142856, 0.015234375, 0.013541666666666667, 0.0125]",0.0125,0.021527777777777774,0.103125
0.11625,cifar100,0.0,PNN,900.0,17,"[0.08125, 0.0515625, 0.04791666666666666, 0.0359375, 0.028749999999999998, 0.02395833333333333, 0.020535714285714286, 0.01796875, 0.01597222222222222, 0.014374999999999999]",0.014374999999999999,0.015625,0.1040625
0.11500000000000002,cifar100,0.0,PNN,900.0,27,"[0.1, 0.04375, 0.040625, 0.03046875, 0.024375, 0.018229166666666668, 0.015625, 0.013671875, 0.012152777777777778, 0.013125000000000001]",0.013125000000000001,0.021875,0.0975
